[],"Spent the weekend watching the celtics, big thanks to the team at the Boston Celtics for arranging a place for me💪🏻… https://t.co/3xfs5FLeD2",CareerMode19,"Rotterdam, The Netherlands"
"['FIFA20', 'FUT20', 'uefachampionsleague']","RT @V__FUT: UCL live, coming soon!

#FIFA20 #FUT20 #uefachampionsleague https://t.co/PM1SS5ksWW",SaraAzim6,
[],"@Deevanshu11 @CoJoPM The only accurate information from your ""pinned"" is the fact that distance can affect latency/… https://t.co/naS2u8NQao",AspergerGamer,
['FIFA20'],"RT @AFCAjax: Celebrate good times! 🎶🎁
Want to win this signed #FIFA20 prime icon card of @VDSar1970? 👀

✔ Follow @AFCAjax_eSports
🔁 RT this…",nitesh_bhatia_m,New Delhi
['fifa20'],RT @KrasiFIFA: New Giveaway! RT + FOLLOW to ENTER! If I pack Mbappe from my #fifa20 Fut Champs + Rivals rewards tomorrow morning I will giv…,ZacJYeo,"Liverpool, England"
"['WeKnowHimBetter', 'FIFA20']","Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.co/e5ky9fjNqh",EASPORTSFIFA,Global
['fifa20'],RT @KrasiFIFA: New Giveaway! RT + FOLLOW to ENTER! If I pack Mbappe from my #fifa20 Fut Champs + Rivals rewards tomorrow morning I will giv…,stevenjohnmc,"Manchester, England"
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",Omarrr144,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",GeorgeCook___,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",fabiancastro95,
[],RT @CHRI5TENTFF: XBOX PS4 PC CODE GIVEAWAY COMPETITION WINNERS &amp; SUBSCRIBER SHOUT OUTS VIDEO https://t.co/j9MOlDsptq via @YouTube #smallyou…,SmallStreamersR,Smallville
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",Roberto62846789,"Copenhagen, Denmark"
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",AlexLindsay4,"Hitchin, England"
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",eS_Rubbens,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",xadam069x,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",sajjadmorsal,hemma
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",ahviprz,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",YungAkwasi,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",Gagou52,"Saint-Dizier, France"
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",BRoland89,Dublin
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",etabora11,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",SWINEBAGYUMMY,"Toronto, Ontario"
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",FansdeFUT,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",Beast22202183,
"['WeKnowHimBetter', 'FIFA20']","RT @EASPORTSFIFA: Hey @FrankRibery, your Transfer Certificate is finally in. Violet looks good on you 👌 #WeKnowHimBetter #FIFA20 https://t.…",onboardtomcatjr,
