,Name,Country,Language
141,William Carvalho,PORTUGAL,PORTUGUESE
142,S. Umtiti,FRANCE,OCCITAN
143,R. Mahrez,ALGERIA,TAMAZIGHT(LATIN)
144,V. van Dijk,NETHERLANDS,FRISIAN
145,Roberto Firmino,BRAZIL,PORTUGUESE
146,Danilo Pereira,PORTUGAL,PORTUGUESE
147,Vitolo,SPAIN,SPANISH
148,A. Lopes,PORTUGAL,PORTUGUESE
149,S. de Vrij,NETHERLANDS,FRISIAN
150,M. Perin,ITALY,ITALIAN
151,J. Matip,CAMEROON,FRENCH
152,I. Gueye,SENEGAL,WOLOF
153,Iago Aspas,SPAIN,SPANISH
154,N. Otamendi,ARGENTINA,SPANISH
155,N. Matić,SERBIA,SERBIAN (LATIN)
156,J. Pastore,ARGENTINA,SPANISH
157,Parejo,SPAIN,SPANISH
158,S. Kagawa,JAPAN,JAPANESE
159,G. Bonaventura,ITALY,ITALIAN
160,B. Dost,NETHERLANDS,FRISIAN
161,K. Walker,ENGLAND,ENGLISH
162,Oscar,BRAZIL,PORTUGUESE
163,S. N'Zonzi,FRANCE,OCCITAN
164,M. Musacchio,ARGENTINA,SPANISH
165,O. Toprak,TURKEY,TURKISH
166,José Callejón,SPAIN,SPANISH
167,Adrien Silva,PORTUGAL,PORTUGUESE
168,S. Giovinco,ITALY,ITALIAN
169,N. Gaitán,ARGENTINA,SPANISH
170,M. Mandžukić,CROATIA,CROATIAN
171,A. Lallana,ENGLAND,ENGLISH
172,B. Höwedes,GERMANY,GERMAN
173,E. Banega,ARGENTINA,SPANISH
174,Rui Patrício,PORTUGAL,PORTUGUESE
175,Y. Sommer,SWITZERLAND,ROMANSH
176,M. Schneiderlin,FRANCE,OCCITAN
177,Jonas,BRAZIL,PORTUGUESE
178,K. Gameiro,FRANCE,OCCITAN
179,L. Piszczek,POLAND,POLISH
180,E. Garay,ARGENTINA,SPANISH
181,A. Valencia,ECUADOR,SPANISH
182,K. Schmeichel,DENMARK,DANISH
183,M. Dembélé,BELGIUM,FRENCH
184,Borja Valero,SPAIN,SPANISH
185,L. Perrin,FRANCE,OCCITAN
186,L. Biglia,ARGENTINA,SPANISH
187,Juanfran,SPAIN,SPANISH
188,Diego López,SPAIN,SPANISH
189,Santi Cazorla,SPAIN,SPANISH
190,J. Mascherano,ARGENTINA,SPANISH
191,W. Sneijder,NETHERLANDS,FRISIAN
192,Nani,PORTUGAL,PORTUGUESE
193,D. De Rossi,ITALY,ITALIAN
194,José Reina,SPAIN,SPANISH
195,Quaresma,PORTUGAL,PORTUGUESE
196,Y. Touré,IVORY COAST,FRENCH
